,codes,occupation
0,3,legislators
1,4,chief executives and public administrators
2,7,financial managers
3,8,human resources and labor relations managers
4,13,"managers and specialists in marketing, advertising, and public relations"
5,14,managers in education and related fields
6,15,managers of medicine and health occupations
7,16,postmasters and mail superintendents
8,17,managers of food- serving and lodging establishments
9,18,managers of properties and real estate
10,19,funeral directors
11,21,managers of service organizations
12,22,managers and administrators
13,23,accountants and auditors
14,24,insurance underwriters
15,25,other financial specialists
16,26,management analysts
17,27,"personnel, hr, training, and labor relations specialists"
18,28,"purchasing agents and buyers, of farm products"
19,29,"buyers, wholesale and retail trade"
20,33,"purchasing managers, agents and buyers, n.e.c."
21,34,business and promotion agents
22,35,construction inspectors
23,36,"inspectors and compliance officers, outside construction"
24,37,management support occupations
25,43,architects
26,44,aerospace engineer
27,45,"metallurgical and materials engineers, variously phrased"
28,47,"petroleum, mining, and geological engineers"
29,48,chemical engineers
30,53,civil engineers
31,55,electrical engineer
32,56,industrial engineers
33,57,mechanical engineers
34,59,not-elsewhereclassified engineers
35,64,computer systems analysts and computer scientists
36,65,operations and systems researchers and analysts
37,66,actuaries
38,67,statisticians
39,68,mathematicians and mathematical scientists
40,69,physicists and astronomers
41,73,chemists
42,74,atmospheric and space scientists
43,75,geologists
44,76,"physical scientists, n.e.c."
45,77,agricultural and food scientists
46,78,biological scientists
47,79,foresters and conservation scientists
48,83,medical scientists
49,84,physicians
50,85,dentists
51,86,veterinarians
52,87,optometrists
53,88,podiatrists
54,89,other health and therapy
55,95,registered nurses
56,96,pharmacists
57,97,dietitians and nutritionists
58,98,respiratory therapists
59,99,occupational therapists
60,103,physical therapists
61,104,speech therapists
62,105,"therapists, n.e.c."
63,106,physicians' assistants
64,113,"earth, environmental, and marine science instructors"
65,114,biological science instructors
66,115,chemistry instructors
67,116,physics instructors
68,118,psychology instructors
69,119,economics instructors
70,123,history instructors
71,125,sociology instructors
72,127,engineering instructors
73,128,math instructors
74,139,education instructors
75,145,law instructors
76,147,theology instructors
77,149,home economics instructors
78,150,"humanities profs/instructors, college, nec"
79,154,subject instructors (hs/college)
80,155,kindergarten and earlier school teachers
81,156,primary school teachers
82,157,secondary school teachers
83,158,special education teachers
84,159,"teachers , n.e.c."
85,163,vocational and educational counselors
86,164,librarians
87,165,archivists and curators
88,166,"economists, market researchers, and survey researchers"
89,167,psychologists
90,168,sociologists
91,169,"social scientists, n.e.c."
92,173,urban and regional planners
93,174,social workers
94,175,recreation workers
95,176,clergy and religious workers
96,178,lawyers
97,179,judges
98,183,writers and authors
99,184,technical writers
100,185,designers
101,186,musician or composer
102,187,"actors, directors, producers"
103,188,"art makers; painters, sculptors, craft artists, and printmakers"
104,189,photographers
105,193,dancers
106,194,art/entertainment performers and related
107,195,editors and reporters
108,198,announcers
109,199,"athletes, sports instructors, and officials"
110,200,"professionals, n.e.c."
111,203,clinical laboratory technologies and technicians
112,204,dental hygenists
113,205,health record tech specialists
114,206,radiologic tech specialists
115,207,licensed practical nurses
116,208,"health technologists and technicians, n.e.c."
117,213,electrical and electronic (engineering) technicians
118,214,"engineering technicians, n.e.c."
119,215,mechanical engineering technicians
120,217,drafters
121,218,"surveyors, cartographers, mapping scientists and technicians"
122,223,biological technicians
123,224,chemical technicians
124,225,other science technicians
125,226,airplane pilots and navigators
126,227,air traffic controllers
127,228,broadcast equipment operators
128,229,computer software developers
129,233,programmers of numerically controlled machine tools
130,234,"legal assistants, paralegals, legal support, etc"
131,235,"technicians, n.e.c."
132,243,supervisors and proprietors of sales jobs
133,253,insurance sales occupations
134,254,real estate sales occupations
135,255,financial services sales occupations
136,256,advertising and related sales jobs
137,258,sales engineers
138,274,"salespersons, n.e.c."
139,275,retail sales clerks
140,276,cashiers
141,277,"door-to-door sales, street sales, and news vendors"
142,283,sales demonstrators / promoters / models
143,290,sales workers
144,303,office supervisors
145,308,computer and peripheral equipment operators
146,313,secretaries
147,314,stenographers
148,315,typists
149,316,"interviewers, enumerators, and surveyors"
150,317,hotel clerks
151,318,transportation ticket and reservation agents
152,319,receptionists
153,323,"information clerks, nec"
154,326,correspondence and order clerks
155,328,"human resources clerks, except payroll and timekeeping"
156,329,library assistants
157,335,file clerks
158,336,records clerks
159,337,bookkeepers and accounting and auditing clerks
160,338,payroll and timekeeping clerks
161,343,cost and rate clerks (financial records processing)
162,344,billing clerks and related financial records processing
163,345,duplication machine operators / office machine operators
164,346,mail and paper handlers
165,347,"office machine operators, n.e.c."
166,348,telephone operators
167,349,other telecom operators
168,354,"postal clerks, excluding mail carriers"
169,355,mail carriers for postal service
170,356,"mail clerks, outside of post office"
171,357,messengers
172,359,dispatchers
173,361,"inspectors, n.e.c."
174,364,shipping and receiving clerks
175,365,stock and inventory clerks
176,366,meter readers
177,368,"weighers, measurers, and checkers"
178,373,"material recording, scheduling, production, planning, and expediting clerks"
179,375,"insurance adjusters, examiners, and investigators"
180,376,"customer service reps, investigators and adjusters, except insurance"
181,377,eligibility clerks for government programs; social welfare
182,378,bill and account collectors
183,379,general office clerks
184,383,bank tellers
185,384,proofreaders
186,385,data entry keyers
187,386,statistical clerks
188,387,teacher's aides
189,389,"administrative support jobs, n.e.c."
190,390,"professional, technical, and kindred workers"
191,391,clerical and kindred workers
192,405,"housekeepers, maids, butlers, stewards, and lodging quarters cleaners"
193,407,private household cleaners and servants
194,408,private household workers
195,415,supervisors of guards
196,417,"fire fighting, prevention, and inspection"
197,418,"police, detectives, and private investigators"
198,423,"other law enforcement; sheriffs, bailiffs, correctional institution officers"
199,425,crossing guards and bridge tenders
200,426,"guards, watchmen, doorkeepers"
201,427,"protective services, n.e.c."
202,434,bartenders
203,435,waiter/waitress
204,436,"cooks, variously defined"
205,438,food counter and fountain workers
206,439,kitchen workers
207,443,waiter's assistant
208,444,misc food prep workers
209,445,dental assistants
210,446,"health aides, except nursing"
211,447,"nursing aides, orderlies, and attendants"
212,448,supervisors of cleaning and building service
213,453,janitors
214,454,elevator operators
215,455,pest control occupations
216,456,"supervisors of personal service jobs, n.e.c."
217,457,barbers
218,458,hairdressers and cosmetologists
219,459,recreation facility attendants
220,461,guides
221,462,ushers
222,463,public transportation attendants and inspectors
223,464,baggage porters
224,465,welfare service aides
225,468,child care workers
226,469,"personal service occupations, nec"
227,473,farmers (owners and tenants)
228,474,horticultural specialty farmers
229,475,"farm managers, except for horticultural farms"
230,476,managers of horticultural specialty farms
231,479,farm workers
232,480,farm laborers and farm foreman
233,483,marine life cultivation workers
234,484,nursery farming workers
235,485,supervisors of agricultural occupations
236,486,gardeners and groundskeepers
237,487,animal caretakers except on farms
238,488,graders and sorters of agricultural products
239,489,inspectors of agricultural products
240,496,"timber, logging, and forestry workers"
241,498,"fishers, hunters, and kindred"
242,503,supervisors of mechanics and repairers
243,505,automobile mechanics
244,507,"bus, truck, and stationary engine mechanics"
245,508,aircraft mechanics
246,509,small engine repairers
247,514,auto body repairers
248,516,heavy equipment and farm equipment mechanics
249,518,industrial machinery repairers
250,519,machinery maintenance occupations
251,523,repairers of industrial electrical equipment
252,525,repairers of data processing equipment
253,526,repairers of household appliances and power tools
254,527,telecom and line installers and repairers
255,533,"repairers of electrical equipment, n.e.c."
256,534,"heating, air conditioning, and refigeration mechanics"
257,535,"precision makers, repairers, and smiths"
258,536,locksmiths and safe repairers
259,538,office machine repairers and mechanics
260,539,repairers of mechanical controls and valves
261,543,elevator installers and repairers
262,544,millwrights
263,549,"mechanics and repairers, n.e.c."
264,558,supervisors of construction work
265,563,"masons, tilers, and carpet installers"
266,567,carpenters
267,573,drywall installers
268,575,electricians
269,577,electric power installers and repairers
270,579,"painters, construction and maintenance"
271,583,paperhangers
272,584,plasterers
273,585,"plumbers, pipe fitters, and steamfitters"
274,588,concrete and cement workers
275,589,glaziers
276,593,insulation workers
277,594,"paving, surfacing, and tamping equipment operators"
278,595,roofers and slaters
279,596,sheet metal duct installers
280,597,structural metal workers
281,598,drillers of earth
282,599,"construction trades, n.e.c."
283,614,drillers of oil wells
284,615,explosives workers
285,616,miners
286,617,other mining occupations
287,628,production supervisors or foremen
288,634,tool and die makers and die setters
289,637,machinists
290,643,boilermakers
291,644,precision grinders and filers
292,645,patternmakers and model makers
293,646,lay-out workers
294,649,engravers
295,653,"tinsmiths, coppersmiths, and sheet metal workers"
296,657,cabinetmakers and bench carpenters
297,658,furniture and wood finishers
298,659,other precision woodworkers
299,666,dressmakers and seamstresses
300,667,tailors
301,668,upholsterers
302,669,shoe repairers
303,674,other precision apparel and fabric workers
304,675,"hand molders and shapers, except jewelers"
305,677,optical goods workers
306,678,dental laboratory and medical appliance technicians
307,679,bookbinders
308,684,other precision and craft workers
309,686,butchers and meat cutters
310,687,bakers
311,688,batch food makers
312,693,adjusters and calibrators
313,694,water and sewage treatment plant operators
314,695,power plant operators
315,696,"plant and system operators, stationary engineers"
316,699,other plant and system operators
317,703,"lathe, milling, and turning machine operatives"
318,706,punching and stamping press operatives
319,707,"rollers, roll hands, and finishers of metal"
320,708,drilling and boring machine operators
321,709,"grinding, abrading, buffing, and polishing workers"
322,713,forge and hammer operators
323,717,"fabricating machine operators, n.e.c."
324,719,"molders, and casting machine operators"
325,723,metal platers
326,724,heat treating equipment operators
327,726,"wood lathe, routing, and planing machine operators"
328,727,sawing machine operators and sawyers
329,728,shaping and joining machine operator (woodworking)
330,729,nail and tacking machine operators (woodworking)
331,733,other woodworking machine operators
332,734,"printing machine operators, n.e.c."
333,735,photoengravers and lithographers
334,736,typesetters and compositors
335,738,winding and twisting textile/apparel operatives
