,year,real_cpis
2,1947,0.1286549707602339
14,1948,0.13742690058479531
26,1949,0.13982456140350877
38,1950,0.13824561403508773
50,1951,0.1513450292397661
62,1952,0.15432748538011695
74,1953,0.15573099415204678
86,1954,0.15748538011695906
98,1955,0.15666666666666665
110,1956,0.1572514619883041
122,1957,0.16292397660818714
134,1958,0.16883040935672516
146,1959,0.16941520467836257
158,1960,0.17198830409356725
170,1961,0.1745029239766082
182,1962,0.17643274853801172
194,1963,0.17842105263157895
206,1964,0.1809356725146199
218,1965,0.18309941520467835
230,1966,0.188187134502924
242,1967,0.19298245614035087
254,1968,0.20058479532163742
266,1969,0.2111111111111111
278,1970,0.2239766081871345
290,1971,0.23391812865497075
302,1972,0.24210526315789474
314,1973,0.25380116959064325
326,1974,0.27953216374269
338,1975,0.30877192982456136
350,1976,0.32748538011695905
362,1977,0.3485380116959064
374,1978,0.3707602339181286
386,1979,0.40877192982456145
398,1980,0.4684210526315789
410,1981,0.5181286549707602
422,1982,0.5538011695906433
434,1983,0.5736842105263158
446,1984,0.6017543859649123
458,1985,0.6245614035087719
470,1986,0.6380116959064327
482,1987,0.656140350877193
494,1988,0.6812865497076024
506,1989,0.7146198830409357
518,1990,0.752046783625731
530,1991,0.7883040935672515
542,1992,0.8134502923976608
554,1993,0.8380116959064328
566,1994,0.8602339181286549
578,1995,0.8842105263157894
590,1996,0.9093567251461988
602,1997,0.9345029239766083
614,1998,0.9473684210526315
626,1999,0.9637426900584796
638,2000,1.0
650,2001,1.0298245614035086
662,2002,1.043859649122807
674,2003,1.075438596491228
686,2004,1.0941520467836257
698,2005,1.1292397660818714
710,2006,1.1678362573099415
722,2007,1.2005146198830408
734,2008,1.2482339181286548
746,2009,1.2426608187134502
758,2010,1.2710701754385965
770,2011,1.304362573099415
782,2012,1.3380526315789474
794,2013,1.358374269005848
806,2014,1.3802807017543859
818,2015,1.3799766081871345
830,2016,1.3917543859649124
842,2017,1.4252690058479531
854,2018,1.4585555555555554
866,2019,1.4859356725146198
878,2020,1.5084970760233916
