"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",10.2382146168838
"2","Manage/Professional",1,"1985",9.89488327331873
"3","Manage/Professional",1,"1990",9.67798787400174
"4","Manage/Professional",1,"1995",9.13754581403267
"5","Tech/Sales/Admin",2,"1980",6.5184371530876
"6","Tech/Sales/Admin",2,"1985",6.07582746847792
"7","Tech/Sales/Admin",2,"1990",5.87115901119321
"8","Tech/Sales/Admin",2,"1995",5.73847133719883
"9","Service",3,"1980",4.37508301442327
"10","Service",3,"1985",4.77274193025213
"11","Service",3,"1990",3.8181548339527
"12","Service",3,"1995",3.88625905300498
"13","Farm/Fish/Forest",4,"1980",1.83096832457727
"14","Farm/Fish/Forest",4,"1985",3.73865496692734
"15","Farm/Fish/Forest",4,"1990",4.19338741740937
"16","Farm/Fish/Forest",4,"1995",5.12690245240934
"17","Operators",6,"1980",6.92699916605263
"18","Operators",6,"1985",6.50082228912248
"19","Operators",6,"1990",5.95154061147664
"20","Operators",6,"1995",6.97056535457104
