"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",16.3855305005081
"2","Manage/Professional",1,"1985",15.705727732352
"3","Manage/Professional",1,"1990",15.4227126656562
"4","Manage/Professional",1,"1995",14.2770146483713
"5","Tech/Sales/Admin",2,"1980",13.7798236367834
"6","Tech/Sales/Admin",2,"1985",12.2497993445587
"7","Tech/Sales/Admin",2,"1990",10.7641182206032
"8","Tech/Sales/Admin",2,"1995",10.6216462409735
"9","Service",3,"1980",7.84639782006618
"10","Service",3,"1985",7.54311226128518
"11","Service",3,"1990",5.9567171957811
"12","Service",3,"1995",6.1431246363793
"13","Farm/Fish/Forest",4,"1980",3.81328581478374
"14","Farm/Fish/Forest",4,"1985",5.03952501170896
"15","Farm/Fish/Forest",4,"1990",6.82188916946467
"16","Farm/Fish/Forest",4,"1995",8.45164381655803
"17","Operators",6,"1980",10.6819668226964
"18","Operators",6,"1985",10.8032432094941
"19","Operators",6,"1990",10.1643583136706
"20","Operators",6,"1995",12.0785039875029
