"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",12.7975746292611
"2","Manage/Professional",1,"1990",12.3161347715868
"3","Tech/Sales/Admin",2,"1980",7.9284407738231
"4","Tech/Sales/Admin",2,"1990",7.53515879107005
"5","Service",3,"1980",6.03400960388717
"6","Service",3,"1990",5.18767644032843
"7","Farm/Fish/Forest",4,"1980",2.8608825059293
"8","Farm/Fish/Forest",4,"1990",5.72642490919273
"9","Production",5,"1980",8.77455838742229
"10","Production",5,"1990",9.46790685184686
"11","Operators",6,"1980",7.31488634984157
"12","Operators",6,"1990",6.90666492557944
