"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",12.7755370703536
"2","Manage/Professional",1,"1990",12.2951345892138
"3","Tech/Sales/Admin",2,"1980",7.91561994443949
"4","Tech/Sales/Admin",2,"1990",7.52366002798483
"5","Service",3,"1980",6.02366512426624
"6","Service",3,"1990",5.17907440280134
"7","Farm/Fish/Forest",4,"1980",2.85650167140336
"8","Farm/Fish/Forest",4,"1990",5.71836555314961
"9","Production",5,"1980",8.76090851086392
"10","Production",5,"1990",9.45236578785402
"11","Operators",6,"1980",7.30331236387137
"12","Operators",6,"1990",6.89644750617048
