"","occupation","2digit occ","decade","1digit occ","mean_distance"
"1","Exec, Admin, and Managerial",1,"1980",1,3.80512940682234
"2","Exec, Admin, and Managerial",1,"1985",1,3.35374907970181
"3","Exec, Admin, and Managerial",1,"1990",1,4.20473961474321
"4","Exec, Admin, and Managerial",1,"1995",1,4.19016915030424
"5","Management",2,"1980",1,5.26108571854345
"6","Management",2,"1985",1,4.03721104091368
"7","Management",2,"1990",1,4.37977979320941
"8","Management",2,"1995",1,5.25439625129413
"9","Professional",3,"1980",1,16.7051566826757
"10","Professional",3,"1985",1,16.3127461603282
"11","Professional",3,"1990",1,13.6567540055786
"12","Professional",3,"1995",1,12.3992890748699
"13","Technicians",4,"1980",2,11.3044264948058
"14","Technicians",4,"1985",2,10.168928523022
"15","Technicians",4,"1990",2,8.93951670561939
"16","Technicians",4,"1995",2,6.24866686315017
"17","Sales",5,"1980",2,3.89784571944414
"18","Sales",5,"1985",2,4.65373966230005
"19","Sales",5,"1990",2,4.49149152099482
"20","Sales",5,"1995",2,4.82994212490894
"21","Admin",6,"1980",2,4.64822665943547
"22","Admin",6,"1985",2,4.0827643580757
"23","Admin",6,"1990",2,3.77030536875397
"24","Admin",6,"1995",2,4.28420750213929
"25","Cleaning",7,"1980",3,1.18464450160291
"26","Cleaning",7,"1985",3,2.87379004464016
"27","Cleaning",7,"1990",3,3.69588438185578
"28","Cleaning",7,"1995",3,2.51568083001092
"29","Protection",8,"1980",3,0.433042183477709
"30","Protection",8,"1985",3,0.872351664143606
"31","Protection",8,"1990",3,0.93549831352615
"32","Protection",8,"1995",3,1.13442974605381
"33","Food prep.",9,"1980",3,1.78074183480263
"34","Food prep.",9,"1985",3,1.5922326045926
"35","Food prep.",9,"1990",3,1.08861789952439
"36","Food prep.",9,"1995",3,1.13872461225149
"37","Health supp.",10,"1980",3,1.27219073123485
"38","Health supp.",10,"1985",3,1.51364387243587
"39","Health supp.",10,"1990",3,0.961849639802277
"40","Health supp.",10,"1995",3,0.804042426168601
"41","Building maintenance",11,"1980",3,2.16380848565661
"42","Building maintenance",11,"1985",3,2.23209530175038
"43","Building maintenance",11,"1990",3,2.31652595403895
"44","Building maintenance",11,"1995",3,4.64659922948874
"45","Personal care",12,"1980",3,6.9591120257417
"46","Personal care",12,"1985",3,7.25554531890871
"47","Personal care",12,"1990",3,5.37637412698713
"48","Personal care",12,"1995",3,5.06944330892686
"49","Farm/Fish/Forest",13,"1980",4,1.82795766379372
"50","Farm/Fish/Forest",13,"1985",4,3.73274784216825
"51","Farm/Fish/Forest",13,"1990",4,4.18692596030293
"52","Farm/Fish/Forest",13,"1995",4,5.12069307096617
"53","Mechanic/Repair",14,"1980",5,6.5050774622549
"54","Mechanic/Repair",14,"1985",5,6.476538596888
"55","Mechanic/Repair",14,"1990",5,6.17812052405533
"56","Mechanic/Repair",14,"1995",5,5.77448098276789
"57","Construction",15,"1980",5,4.63118616563292
"58","Construction",15,"1985",5,4.50247696884721
"59","Construction",15,"1990",5,6.22025797047636
"60","Construction",15,"1995",5,6.25705294909975
"61","Extraction",16,"1980",5,7.30512106349759
"62","Extraction",16,"1985",5,4.2640364357758
"63","Extraction",16,"1990",5,5.17042819153418
"64","Extraction",16,"1995",5,8.79332806541131
"65","Production",17,"1980",5,8.25052025901282
"66","Production",17,"1985",5,8.68802452325028
"67","Production",17,"1990",5,7.26643196534243
"68","Production",17,"1995",5,9.46568967141395
"69","Machinists",18,"1980",6,7.12156591628229
"70","Machinists",18,"1985",6,5.30012376250167
"71","Machinists",18,"1990",6,4.48264318181904
"72","Machinists",18,"1995",6,5.30597357123488
"73","Transport/Material moving",19,"1980",6,4.75188825325369
"74","Transport/Material moving",19,"1985",6,4.77427142718241
"75","Transport/Material moving",19,"1990",6,5.20442136771826
"76","Transport/Material moving",19,"1995",6,4.64465634528526
