"","occupation","2digit occ","decade","1digit occ","mean_distance"
"1","Exec, Admin, and Managerial",1,"1980",1,4.60728687359059
"2","Exec, Admin, and Managerial",1,"1985",1,3.86769233386325
"3","Exec, Admin, and Managerial",1,"1990",1,5.02033571791803
"4","Exec, Admin, and Managerial",1,"1995",1,5.31681884927016
"5","Management",2,"1980",1,6.06473385969524
"6","Management",2,"1985",1,4.51936552574512
"7","Management",2,"1990",1,4.58110763032622
"8","Management",2,"1995",1,5.79820974285714
"9","Professional",3,"1980",1,18.9745007518185
"10","Professional",3,"1985",1,18.6162495070523
"11","Professional",3,"1990",1,15.2552864304268
"12","Professional",3,"1995",1,14.5009156630859
"13","Technicians",4,"1980",2,12.8098199394136
"14","Technicians",4,"1985",2,12.0846830118182
"15","Technicians",4,"1990",2,10.2828504959476
"16","Technicians",4,"1995",2,7.73107479317807
"17","Sales",5,"1980",2,5.13845598363647
"18","Sales",5,"1985",2,5.25830263441351
"19","Sales",5,"1990",2,4.93689220329745
"20","Sales",5,"1995",2,5.616748251955
"21","Admin",6,"1980",2,5.2706818798618
"22","Admin",6,"1985",2,5.01066141022883
"23","Admin",6,"1990",2,4.53876716509804
"24","Admin",6,"1995",2,5.03837431824525
"25","Cleaning",7,"1980",3,1.47919688304218
"26","Cleaning",7,"1985",3,3.32944725937386
"27","Cleaning",7,"1990",3,4.3825102681226
"28","Cleaning",7,"1995",3,2.89495015997596
"29","Protection",8,"1980",3,0.872918989248283
"30","Protection",8,"1985",3,1.74940343200544
"31","Protection",8,"1990",3,1.52896438672979
"32","Protection",8,"1995",3,1.54153347575417
"33","Food prep.",9,"1980",3,2.10024673961359
"34","Food prep.",9,"1985",3,1.96731246397026
"35","Food prep.",9,"1990",3,1.51797524077466
"36","Food prep.",9,"1995",3,1.37658827541561
"37","Health supp.",10,"1980",3,1.60758534863068
"38","Health supp.",10,"1985",3,1.88807468208348
"39","Health supp.",10,"1990",3,1.09546216337036
"40","Health supp.",10,"1995",3,1.01975665707418
"41","Building maintenance",11,"1980",3,2.73467443360207
"42","Building maintenance",11,"1985",3,2.89602390581443
"43","Building maintenance",11,"1990",3,3.03360157682023
"44","Building maintenance",11,"1995",3,5.3991163976642
"45","Personal care",12,"1980",3,8.64771688326529
"46","Personal care",12,"1985",3,8.78014419304913
"47","Personal care",12,"1990",3,6.94583112440812
"48","Personal care",12,"1995",3,6.64978129442161
"49","Farm/Fish/Forest",13,"1980",4,2.18612022218658
"50","Farm/Fish/Forest",13,"1985",4,4.02371673713046
"51","Farm/Fish/Forest",13,"1990",4,5.00497849808507
"52","Farm/Fish/Forest",13,"1995",4,6.28564613980505
"53","Mechanic/Repair",14,"1980",5,7.82078176342187
"54","Mechanic/Repair",14,"1985",5,7.74712645299837
"55","Mechanic/Repair",14,"1990",5,8.02824479150026
"56","Mechanic/Repair",14,"1995",5,7.04349355541364
"57","Construction",15,"1980",5,5.52734771754856
"58","Construction",15,"1985",5,5.36483006613147
"59","Construction",15,"1990",5,7.51203491604879
"60","Construction",15,"1995",5,7.94442868894372
"61","Extraction",16,"1980",5,8.96843153986962
"62","Extraction",16,"1985",5,4.94405197666542
"63","Extraction",16,"1990",5,5.86803119418408
"64","Extraction",16,"1995",5,9.99984270393699
"65","Production",17,"1980",5,9.09167481345482
"66","Production",17,"1985",5,9.4135991468087
"67","Production",17,"1990",5,8.39039283365448
"68","Production",17,"1995",5,11.0885586554422
"69","Machinists",18,"1980",6,8.10418422356269
"70","Machinists",18,"1985",6,6.39822663774995
"71","Machinists",18,"1990",6,5.83059888000675
"72","Machinists",18,"1995",6,6.65452381432571
"73","Transport/Material moving",19,"1980",6,6.02717362121808
"74","Transport/Material moving",19,"1985",6,5.20141325612758
"75","Transport/Material moving",19,"1990",6,6.24855516707247
"76","Transport/Material moving",19,"1995",6,6.28639245686309
