"","PC1","PC2","PC3"
"4_1950",0.00859870966547275,-0.0640289121656964,-0.314403898506778
"4_1951",0.00408367024767948,-0.0917547183622318,-0.271318213927649
"4_1952",-0.0155217173118347,-0.112095185255568,-0.28955318388123
"4_1953",-0.0239167278911928,-0.115736641336886,-0.300683330760952
"4_1954",-0.0283942021987582,-0.117057269593714,-0.304006055409971
"4_1955",-0.0122573860756373,-0.111265912075076,-0.281094745708227
"4_1956",0.0113189526579403,-0.0972094599196908,-0.187462866173801
"4_1957",0.00356172556118835,-0.0915463530734363,-0.271912956730262
"4_1958",-0.0468806259478391,-0.140309540581132,-0.242448659554519
"4_1959",-0.053557600039807,-0.134774450238739,-0.247471006576038
"7_1950",-0.0438287141393279,-0.0366913933785665,-0.118702149090138
"7_1951",-0.00873698601628191,-0.0392289851547668,-0.0779051666124413
"7_1952",-0.00520216653587279,-0.0686162960441613,-0.0887294165770569
"7_1953",-0.0368483222541378,-0.0845907508832389,-0.147194603786012
"7_1954",-0.0522812196323893,-0.0657620885892443,-0.167341851142943
"7_1955",-0.0320871992048848,-0.090522382093477,-0.144264793670011
"7_1956",-0.0105939302926796,-0.0347882535014634,-0.0945813302756728
"7_1957",-0.0111985180639377,-0.0301404251647602,-0.0731785578423443
"7_1958",-0.0572580333366057,-0.0860602810673057,-0.130013381325554
"7_1959",-0.0325385218126111,-0.0893669289156924,-0.142076602197115
"8_1950",-0.001561743967236,-0.0916390575596978,-0.0877557686704649
"8_1951",-0.00420016720692053,-0.0984442110251409,-0.0174235863406005
"8_1952",0.0319339642809841,-0.0565897724565068,0.0214064411449698
"8_1953",0.0291210908896639,-0.0595696624299946,0.00254213029141623
"8_1954",-0.0324376140840104,-0.13084464877472,-0.101319435793345
"8_1955",-0.0420387593857629,-0.132237013273653,-0.0250759397648199
"8_1956",0.0138643034229095,-0.0724843631600951,-0.050191047767551
"8_1957",0.0143472692227225,-0.0826194505801649,-0.0992264028027446
"8_1958",-0.039553643092916,-0.114040465917741,-0.0436729990718385
"8_1959",-0.0798327252081314,-0.0973495759472375,-0.0512793497475919
"9_1950",-0.0259440607315659,-0.11154702913903,-0.128159837091768
"9_1951",-0.0283133819903739,-0.133946684020244,-0.0230277220283977
"9_1952",-0.040610213569657,-0.144652832233849,-0.113911676788688
"9_1953",-0.0430235610479917,-0.136096288307539,-0.154133530294252
"9_1954",-0.0517405964545927,-0.13178894933966,-0.151432530340471
"9_1955",-0.0484309680379875,-0.123928561052287,-0.141048213998906
"9_1956",-0.029035622336106,-0.116172778179285,-0.052334091725426
"9_1957",-0.0291347085156827,-0.113999170202281,-0.100942359741176
"9_1958",-0.0665248675330449,-0.109887149818589,-0.107802268510132
"9_1959",-0.0794990322987062,-0.0810369379981196,-0.0902705510883688
"13_1950",-0.0073084946141628,-0.0620491116156119,-0.339534729846172
"13_1951",0.0163579659692206,-0.0519068578868339,-0.279544247224354
"13_1952",-0.0326264826438735,-0.0991896205519658,-0.319503071975313
"13_1953",0.000911564754780193,-0.0768919297245629,-0.314885540038157
"13_1954",-0.0176558868477989,-0.0820865508950022,-0.336245637931385
"13_1955",-0.0312906777506109,-0.0642521482305458,-0.358780769600108
"13_1956",0.000708579111758451,-0.0551985799078302,-0.328367624786455
