"","PC1","PC2","PC3","PC4"
"4_1970",9.91746253005686e-05,-0.159352060994186,-0.0410136100640293,-0.240291443765723
"4_1971",-0.0228012649104854,-0.186545868716319,-0.0456485840059941,-0.3302257116556
"4_1972",-0.0425392185615492,-0.205512201627154,-0.04456087348261,-0.326447302652469
"4_1973",-0.0433028525378129,-0.212608245088366,-0.0450902925975275,-0.284126072368006
"4_1974",-0.0394369440707261,-0.21689699419266,-0.0429636296626801,-0.220494076930136
"4_1975",-0.0230343460710951,-0.207753553594554,-0.0279063106246677,-0.247826997108201
"4_1976",-0.0333249232897567,-0.217282952933456,-0.0263169165355185,-0.260810366606163
"4_1977",-0.0407413510356758,-0.225178291168791,-0.0237562005315733,-0.249188424353943
"4_1978",-0.0551258560489014,-0.228515232501476,-0.02679389945687,-0.230194789568956
"4_1979",-0.0541765424270868,-0.236496090982173,-0.00677710487173924,-0.239176468506766
"7_1970",-0.0273460160520832,-0.144166380069524,0.0132739556288533,-0.0961298563164937
"7_1971",-0.054630052039579,-0.172380736111202,-0.000602828705280269,-0.139003893682226
"7_1972",-0.0609694631581557,-0.17174549095015,0.00686320666743481,-0.130305068419725
"7_1973",-0.060368663137064,-0.165676468957776,0.0109395740012802,-0.132882957872039
"7_1974",-0.0613114030010933,-0.162979226987005,0.0190874597183165,-0.132035227884927
"7_1975",-0.041848510637573,-0.160406405692475,0.00864907151054137,-0.111816329087646
"7_1976",-0.0491310016337168,-0.163148554423857,0.009638418185198,-0.116080309272536
"7_1977",-0.0369372238440824,-0.16459133037168,-0.00519197631937424,-0.110638266715508
"7_1978",-0.0613728232398016,-0.166444025138853,0.0171076572987383,-0.115169561733476
"7_1979",-0.0620048202463537,-0.168809576611914,0.0192369072860553,-0.128646510708215
"8_1970",-0.00921492155846846,-0.201500751194334,0.0233314018209477,-0.0926851822056996
"8_1971",-0.0525806139794266,-0.236805073034888,0.0237142729968155,-0.151983192207939
"8_1972",-0.0556239634461754,-0.23598228721127,0.0243236255422483,-0.0749033872226207
"8_1973",-0.0611748996720691,-0.23168620760383,0.0329502852095331,-0.0797563840612029
"8_1974",-0.0745195188192079,-0.219681226785114,0.029449448165442,-0.0207972874854599
"8_1975",-0.0624491950804257,-0.233572622480183,0.0272088595042775,-0.0294866718234436
"8_1976",-0.0718174705891726,-0.22277635793542,0.031178834174974,-0.0348255154027843
"8_1977",-0.0774501985459031,-0.221025360494723,0.0669997763123502,-0.021310713266914
"8_1978",-0.0942505297043116,-0.1889995210934,0.0829449435853041,-0.043381458864521
"8_1979",-0.0992653669714777,-0.170010430371614,0.10060525911419,-0.0378551694722356
"9_1970",-0.0743948822071626,-0.144488809485013,-0.0859127967641998,-0.255587784729736
"9_1971",-0.102063147319145,-0.14510949167961,-0.0116337866010425,-0.259339108954306
"9_1972",-0.126544586085754,-0.000366189946404751,0.066480674578773,-0.211583639366066
"9_1973",-0.121379619689337,-0.0428229977581579,0.0236382507431748,-0.205871295594559
"9_1974",-0.120135273952207,-0.0550457375919041,0.0468286587632506,-0.186860559483813
"9_1975",-0.105278138306784,-0.120588236711979,-0.0235746241553155,-0.225136013317616
"9_1976",-0.118822017513393,-0.0666723430346302,0.0559439777646662,-0.205927420269244
"9_1977",-0.120767418834808,-0.0733556965791212,0.0379242634458884,-0.192971763533658
"9_1978",-0.126956771466849,0.014911249303594,0.0927832263104063,-0.175362072798632
"9_1979",-0.126560757886757,0.0245890542021779,0.116166471488914,-0.17223918909733
"13_1970",-0.00634894718134325,-0.147969755200487,0.0260371136570357,-0.43284419016557
"13_1971",-0.0248015075033312,-0.187313469053707,0.0112855387323851,-0.406224975847921
"13_1972",-0.0306988527224168,-0.190187987237004,-0.00125144518221314,-0.40745547698277
"13_1973",-0.0403140417192342,-0.193091417373113,0.00799587666142387,-0.425173244425639
"13_1974",-0.0514670539074825,-0.195497585731853,0.0170768266773354,-0.414293616767424
"13_1975",-0.0251026894181538,-0.181467082598859,0.0259521748994229,-0.422551722622424
"13_1976",-0.0433910816724947,-0.187803346254937,0.0310725244097458,-0.431321581289869
"13_1977",-0.0387627592009321,-0.189153585925474,0.0344317811697736,-0.410099495359693
"13_1978",-0.0641344804991699,-0.181934251023941,0.0422012272694926,-0.401529159872129
