"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"4_1970",9.91746253005686e-05,-0.159352060994186,-0.0410136100640293,-0.240291443765723,0.0131437298125232,0.0218701720546395,-0.0481928736269971
"4_1971",-0.0228012649104854,-0.186545868716319,-0.0456485840059941,-0.3302257116556,-0.0585451127751067,-0.0376330423539755,-0.0704477172520556
"4_1972",-0.0425392185615492,-0.205512201627154,-0.04456087348261,-0.326447302652469,-0.0144473502625996,-0.0977400776229317,-0.0573852825450251
"4_1973",-0.0433028525378129,-0.212608245088366,-0.0450902925975275,-0.284126072368006,0.0677646499788574,-0.130813262270867,-0.0523619000977704
"4_1974",-0.0394369440707261,-0.21689699419266,-0.0429636296626801,-0.220494076930136,0.0762526229134869,-0.0792483497538905,-0.062693217004794
"4_1975",-0.0230343460710951,-0.207753553594554,-0.0279063106246677,-0.247826997108201,-0.00550983073990336,-0.0541932725797457,-0.103612145823687
"4_1976",-0.0333249232897567,-0.217282952933456,-0.0263169165355185,-0.260810366606163,-0.00647643139975362,-0.0638647892547668,-0.103675810042384
"4_1977",-0.0407413510356758,-0.225178291168791,-0.0237562005315733,-0.249188424353943,0.0182818668447559,-0.0907322659061587,-0.10859361576216
"4_1978",-0.0551258560489014,-0.228515232501476,-0.02679389945687,-0.230194789568956,0.045524450092371,-0.167638566740548,-0.0404584727803663
"4_1979",-0.0541765424270868,-0.236496090982173,-0.00677710487173924,-0.239176468506766,0.06540564027652,-0.212529529301109,-0.126069813236431
"7_1970",-0.0273460160520832,-0.144166380069524,0.0132739556288533,-0.0961298563164937,0.407647942919473,-0.440183038306853,-0.282909019191867
"7_1971",-0.054630052039579,-0.172380736111202,-0.000602828705280269,-0.139003893682226,0.410646047672248,-0.531097602752876,-0.228922439117535
"7_1972",-0.0609694631581557,-0.17174549095015,0.00686320666743481,-0.130305068419725,0.410786134507285,-0.553632378099278,-0.227860919317487
"7_1973",-0.060368663137064,-0.165676468957776,0.0109395740012802,-0.132882957872039,0.441849407274793,-0.590580526793636,-0.245984652819555
"7_1974",-0.0613114030010933,-0.162979226987005,0.0190874597183165,-0.132035227884927,0.423241956819717,-0.608936322158356,-0.245465140115092
"7_1975",-0.041848510637573,-0.160406405692475,0.00864907151054137,-0.111816329087646,0.413653510867482,-0.506380167278157,-0.265464816286347
"7_1976",-0.0491310016337168,-0.163148554423857,0.009638418185198,-0.116080309272536,0.426791900822148,-0.534534741978035,-0.251918507636825
"7_1977",-0.0369372238440824,-0.16459133037168,-0.00519197631937424,-0.110638266715508,0.411977976297933,-0.438415528195868,-0.241791927073616
"7_1978",-0.0613728232398016,-0.166444025138853,0.0171076572987383,-0.115169561733476,0.439563538453619,-0.596789618220478,-0.261601128342922
"7_1979",-0.0620048202463537,-0.168809576611914,0.0192369072860553,-0.128646510708215,0.428939791610398,-0.593569649491336,-0.254188187173864
