"","PC1","PC2","PC3","PC4"
"4_1940",0.00315727146065917,0.0230714203602219,-0.0656242985472783,-0.148240074332904
"4_1941",0.00458667035781011,0.0312388278912667,-0.0583926443342255,-0.150921096931677
"4_1942",0.00599823578479719,0.0581368952884546,-0.043175956773888,-0.108728007194034
"4_1943",0.00217301743214271,0.0523324003232754,-0.0410752599120912,-0.0777948651450168
"4_1944",0.0265148775632032,0.0703742754322056,-0.0104923706308164,-0.119489159783556
"4_1945",0.0286779308361268,0.0495991666729738,-0.0311884403133124,-0.148456785264158
"4_1946",0.0200132152808999,0.0491474329791866,-0.0372141711129031,-0.15832642279263
"4_1947",0.0270666780999496,0.0396808701847898,-0.0455999571925044,-0.160931169860222
"4_1948",0.0215572525419427,0.052746044380829,-0.0418981330953775,-0.157854048947957
"4_1949",0.0196526659459246,0.0443742097530107,-0.0542586875798973,-0.164694488714276
"4_1950",-0.000445419333098272,0.0270022496209512,-0.0601767741939473,-0.142945562656373
"4_1951",0.000114077232534259,0.0409369174838697,-0.0581503604219293,-0.118402238405318
"4_1952",0.00843340088921284,0.0525526886154254,-0.0573907972291728,-0.123477897027752
"4_1953",0.0119468366648877,0.053042194981616,-0.0621090294007724,-0.124971695538242
"4_1954",0.0137196229175687,0.0533182242784734,-0.0655469000059696,-0.11949949340399
"4_1955",0.006819470924474,0.050728677698354,-0.0630295126568306,-0.111304174658704
"4_1956",-0.00440294601959717,0.0453147589541464,-0.0526977656929821,-0.0649561316258658
"4_1957",0.00043411016646063,0.0394074623229111,-0.0666370076126982,-0.102738467305464
"4_1958",0.0193910604836684,0.0683249117716443,-0.0553699880602277,-0.0851593679915633
"4_1959",0.0222667048590391,0.0656508131716776,-0.0586056819045711,-0.0790883943612728
"4_1960",0.00178939693955914,0.0438607353985582,-0.0670392605715759,-0.09516309222517
"4_1961",0.0134420339816359,0.0495664002767135,-0.0788916096087579,-0.0856663117736604
"4_1962",-0.00680929728741993,0.0306800122564163,-0.0633773093745365,-0.0561828315555473
"4_1963",-0.00378641077927106,0.0373994716800843,-0.0647331114882841,-0.0630775256257564
"4_1964",0.0164431113755651,0.0463054212341983,-0.0843274139129265,-0.0792763178644167
"4_1965",0.0118941229636472,0.0466934602981988,-0.0857646009994523,-0.045929587157177
"4_1966",-0.00788694992212852,0.0205426094863096,-0.0708662511884641,-0.0380974823900503
"4_1967",-0.00634414539370477,0.023245433575308,-0.073464027574872,-0.0342639265715501
"4_1968",0.00772245259043845,0.0395983028879951,-0.0875579343823149,-0.035132098183434
"4_1969",0.00869708980680715,0.0358738980078866,-0.0919129112354159,-0.0414605651359298
"4_1970",-0.00614812125688722,0.0239312493436123,-0.0723957817516718,-0.0290868762459944
"4_1971",0.00435180491758139,0.0309345037171593,-0.0892729990115884,-0.0618740405709616
"4_1972",0.0131721495397337,0.0331212905934067,-0.0983731742372726,-0.0543708444886575
"4_1973",0.0130772224226412,0.0303378001414973,-0.0998134736612862,-0.0288526847493803
"4_1974",0.010993691144799,0.0283667929100777,-0.0995624571703897,-0.00787619106260079
"4_1975",0.00400413389129292,0.0232621007131341,-0.0955027561417341,-0.0299422371425649
"4_1976",0.00870862400350471,0.0232051394919281,-0.10191928935547,-0.0306462707914277
"4_1977",0.0120311804789242,0.0226149895589653,-0.106109835718238,-0.0239343102272984
"4_1978",0.0183297089661783,0.0252778703600411,-0.107516423769005,-0.0146952006176862
"4_1979",0.01826709446323,0.0175441774657992,-0.11189481144992,-0.0183424378428866
"4_1980",0.0216754095085708,0.015921900360181,-0.114758364088158,-0.026388873996065
"4_1981",0.0212433308685647,0.0158946822097121,-0.113315850654477,-0.0346631561496512
"4_1982",0.0314395976383981,0.0131217993340922,-0.106813678380014,-0.0646717487595289
"4_1983",0.0324723828282575,0.0122361609493854,-0.103448908530331,-0.0674969932907867
"4_1984",0.0349307915368181,-0.00151671173192843,-0.106264428613361,-0.0628681265603208
"4_1985",0.037707590468506,-0.00845469892201271,-0.102260191783638,-0.057184855926719
"4_1986",0.0238842825954783,0.00636784184414374,-0.113337245943689,-0.0759629715872876
"4_1987",0.0211161120934613,0.0105042990388288,-0.113319406067555,-0.0736206930649831
"4_1988",0.00963719553893991,0.00993536674125484,-0.106060719630812,-0.0847565034892511
"4_1989",0.0231647782349641,0.00436620352107908,-0.111883143149326,-0.0869169028435248
