"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"4_1940",0.00315727146065917,0.0230714203602219,-0.0656242985472783,-0.148240074332904,-0.00688603708142314,0.0220445993704902,-0.0545839237713445
"4_1941",0.00458667035781011,0.0312388278912667,-0.0583926443342255,-0.150921096931677,-0.0070943462954527,0.00823862672434244,-0.0748108399508327
"4_1942",0.00599823578479719,0.0581368952884546,-0.043175956773888,-0.108728007194034,-0.0410101106496831,0.00136037579853359,-0.0858664033256577
"4_1943",0.00217301743214271,0.0523324003232754,-0.0410752599120912,-0.0777948651450168,-0.0701959923441622,0.00254929825027242,-0.14826220438627
"4_1944",0.0265148775632032,0.0703742754322056,-0.0104923706308164,-0.119489159783556,-0.0684722538301374,-0.0100896900442407,-0.0975635724149956
"4_1945",0.0286779308361268,0.0495991666729738,-0.0311884403133124,-0.148456785264158,-0.00663761205139522,-0.0287407855038867,-0.0660498818579351
"4_1946",0.0200132152808999,0.0491474329791866,-0.0372141711129031,-0.15832642279263,-0.020050767870846,-0.00656496992411622,-0.0482148503893861
"4_1947",0.0270666780999496,0.0396808701847898,-0.0455999571925044,-0.160931169860222,-0.0441803228581576,-0.00255550411704981,-0.0702231543179706
"4_1948",0.0215572525419427,0.052746044380829,-0.0418981330953775,-0.157854048947957,-0.0521784849172968,0.0218494167703817,-0.0561743454891102
"4_1949",0.0196526659459246,0.0443742097530107,-0.0542586875798973,-0.164694488714276,-0.0330801841221782,0.0267381763935138,-0.0444657007975622
"4_1950",-0.000445419333098272,0.0270022496209512,-0.0601767741939473,-0.142945562656373,-0.0113515618817716,0.0451966073025269,-0.0580642325317933
"4_1951",0.000114077232534259,0.0409369174838697,-0.0581503604219293,-0.118402238405318,-0.00499672500974874,0.0384104076783951,-0.0577895134974368
"4_1952",0.00843340088921284,0.0525526886154254,-0.0573907972291728,-0.123477897027752,-0.0281668535499074,0.0471752949712887,-0.080101037029222
"4_1953",0.0119468366648877,0.053042194981616,-0.0621090294007724,-0.124971695538242,-0.00632355486278172,0.0148282142414757,-0.0789909644477921
"4_1954",0.0137196229175687,0.0533182242784734,-0.0655469000059696,-0.11949949340399,0.000750177248639066,0.0411906662654951,-0.0561134520838023
"4_1955",0.006819470924474,0.050728677698354,-0.0630295126568306,-0.111304174658704,0.00224767857660599,0.0506673556719541,-0.060738792539117
"4_1956",-0.00440294601959717,0.0453147589541464,-0.0526977656929821,-0.0649561316258658,0.00944762863924501,0.0381393293885367,-0.0506856781141674
"4_1957",0.00043411016646063,0.0394074623229111,-0.0666370076126982,-0.102738467305464,0.00771620836434403,0.0425434359105231,-0.0463418869601372
"4_1958",0.0193910604836684,0.0683249117716443,-0.0553699880602277,-0.0851593679915633,0.0189985640463356,0.031518277532838,-0.0493646625802619
"4_1959",0.0222667048590391,0.0656508131716776,-0.0586056819045711,-0.0790883943612728,0.0339246644070804,0.0316783652385268,-0.0361058396038463
"4_1960",0.00178939693955914,0.0438607353985582,-0.0670392605715759,-0.09516309222517,0.020083819528519,0.0470172856854742,-0.0183518487865905
"4_1961",0.0134420339816359,0.0495664002767135,-0.0788916096087579,-0.0856663117736604,0.024536872627484,0.0144045474080109,-0.0379609042002661
"4_1962",-0.00680929728741993,0.0306800122564163,-0.0633773093745365,-0.0561828315555473,0.0239657045451607,0.0207760811122189,-0.0330262265740912
"4_1963",-0.00378641077927106,0.0373994716800843,-0.0647331114882841,-0.0630775256257564,0.0331197265226068,0.00342175160036361,-0.0594213680594762
"4_1964",0.0164431113755651,0.0463054212341983,-0.0843274139129265,-0.0792763178644167,0.0279455739131058,0.00434953375546921,-0.0364719251622968
"4_1965",0.0118941229636472,0.0466934602981988,-0.0857646009994523,-0.045929587157177,0.0206669243031833,0.00496003283465618,-0.0361794528972922
"4_1966",-0.00788694992212852,0.0205426094863096,-0.0708662511884641,-0.0380974823900503,0.0175353120142243,-0.00406636181390596,-0.0773616940279777
"4_1967",-0.00634414539370477,0.023245433575308,-0.073464027574872,-0.0342639265715501,0.0237005101041577,0.00639725898200768,-0.0518093830524085
"4_1968",0.00772245259043845,0.0395983028879951,-0.0875579343823149,-0.035132098183434,0.0348406564293318,-0.0238504382560007,-0.0565977476968799
"4_1969",0.00869708980680715,0.0358738980078866,-0.0919129112354159,-0.0414605651359298,0.04500352695067,-0.0323075273513945,-0.058475509651657
"4_1970",-0.00614812125688722,0.0239312493436123,-0.0723957817516718,-0.0290868762459944,0.0499651179970517,-0.0225311454295805,-0.0449958934353995
"4_1971",0.00435180491758139,0.0309345037171593,-0.0892729990115884,-0.0618740405709616,0.050925172737773,-0.0375686572961662,-0.0435461201440295
"4_1972",0.0131721495397337,0.0331212905934067,-0.0983731742372726,-0.0543708444886575,0.0442356328344603,-0.0545769026549478,-0.0706274972580464
"4_1973",0.0130772224226412,0.0303378001414973,-0.0998134736612862,-0.0288526847493803,0.0489960173455291,-0.0781443566538035,-0.0812802852960776
"4_1974",0.010993691144799,0.0283667929100777,-0.0995624571703897,-0.00787619106260079,0.0374328566566727,-0.0695353916599446,-0.0673144525104377
"4_1975",0.00400413389129292,0.0232621007131341,-0.0955027561417341,-0.0299422371425649,0.0304974765957158,-0.0504308598639711,-0.0444253469442996
"4_1976",0.00870862400350471,0.0232051394919281,-0.10191928935547,-0.0306462707914277,0.0350242636588481,-0.0612281088791016,-0.0427493737082453
"4_1977",0.0120311804789242,0.0226149895589653,-0.106109835718238,-0.0239343102272984,0.0310854779761463,-0.0736402385187343,-0.0533805592538291
"4_1978",0.0183297089661783,0.0252778703600411,-0.107516423769005,-0.0146952006176862,0.0245020412573343,-0.0821500603618281,-0.0635421619937513
"4_1979",0.01826709446323,0.0175441774657992,-0.11189481144992,-0.0183424378428866,0.0145885059415128,-0.106735719327659,-0.0841553390519561
"4_1980",0.0216754095085708,0.015921900360181,-0.114758364088158,-0.026388873996065,0.0126348054436157,-0.10309745043007,-0.0870748785876987
"4_1981",0.0212433308685647,0.0158946822097121,-0.113315850654477,-0.0346631561496512,0.0216581644136576,-0.11259764958132,-0.0940256465337483
"4_1982",0.0314395976383981,0.0131217993340922,-0.106813678380014,-0.0646717487595289,0.0398135886301869,-0.110810015749162,-0.0644207644115117
"4_1983",0.0324723828282575,0.0122361609493854,-0.103448908530331,-0.0674969932907867,0.0534416084314164,-0.112432900383363,-0.0484927286140809
"4_1984",0.0349307915368181,-0.00151671173192843,-0.106264428613361,-0.0628681265603208,0.0378960017456072,-0.153458179122185,-0.0708662019262074
"4_1985",0.037707590468506,-0.00845469892201271,-0.102260191783638,-0.057184855926719,0.0280337331263339,-0.180539898021142,-0.0775260801784976
"4_1986",0.0238842825954783,0.00636784184414374,-0.113337245943689,-0.0759629715872876,0.0529584166462228,-0.109741022567747,-0.027376994926309
"4_1987",0.0211161120934613,0.0105042990388288,-0.113319406067555,-0.0736206930649831,0.0531600597330723,-0.0970828107777208,-0.0351011574246382
"4_1988",0.00963719553893991,0.00993536674125484,-0.106060719630812,-0.0847565034892511,0.0531166376515639,-0.0313608979133095,0.014586751759592
"4_1989",0.0231647782349641,0.00436620352107908,-0.111883143149326,-0.0869169028435248,0.0574004354131053,-0.102413549613466,-0.0111653119070355
"4_1990",0.0334308279506853,-0.0143077429440096,-0.107679366230715,-0.0675482673363815,0.00756199723060452,-0.185919615835173,-0.06999739464803
"4_1991",0.027856125327933,-0.0030400575981662,-0.112522048130635,-0.0818113108977028,0.0371195840242886,-0.113658358716265,-0.000386593672544528
"4_1992",0.0164725821121158,0.0038327692861287,-0.109992137707694,-0.0985753840108324,0.0569763248850421,-0.0475503928550619,0.0436586905247525
"4_1993",0.0226382607848601,-0.00290527434757924,-0.109774204681474,-0.101529541436585,0.0658572087254724,-0.0970959403648109,0.0188915831499258
"4_1994",0.0331427222561303,-0.00543095411402348,-0.107473466760091,-0.0725013635143436,0.0578581637074147,-0.143723262405061,-0.0302471575300866
"4_1995",0.0440657477065272,-0.0392849727602288,-0.0727709831302989,-0.0537696439089793,0.0125228054731781,-0.245145485444357,-0.083462257490917
"4_1996",0.0430399616369776,-0.0310781247978257,-0.0860221638299127,-0.0425087763313709,0.0189924386242592,-0.235318484077609,-0.0827686764893341
"4_1997",0.032937790869416,-0.00718531359852593,-0.107799859606109,-0.068459555048221,0.0628847281629785,-0.141101969194807,-0.0122028566136614
"4_1998",0.0293495636747411,-0.00574954778366941,-0.111718757417928,-0.0700665509866211,0.0619977747976855,-0.135733459784423,-0.00648798724759413
"4_1999",0.0265037123742015,-0.002282177998345,-0.111836252609359,-0.0762579672255901,0.0595776879201336,-0.100571297732325,0.0141331212464898
"4_2000",0.0438140324653905,-0.0467191188146217,-0.0729005963887481,-0.0354867633866888,-0.0164161697065473,-0.23054320154338,-0.0641170029175699
"7_1940",0.00424440478323101,0.0193571221210729,-0.0544725016323049,-0.0247233858134593,-0.0283671595559237,-0.103193784114909,-0.207573695897883
"7_1941",0.0134064023944767,0.0212959518270897,-0.0519869727075858,-0.0442528324667534,-0.0507081825864316,-0.0943279468022447,-0.225762941417564
"7_1942",-0.00253900009967091,0.0198747890181153,-0.04474417201086,-0.0149922402849337,-0.0962344253740103,-0.013469336492623,-0.229705505689702
"7_1943",0.00590377724170379,0.0426038771145949,-0.0306275803488874,-0.00898490677173817,-0.100704602771269,-0.0590495984298341,-0.233859721842603
"7_1944",0.00117364449193526,0.0497297772654221,-0.0247048830501708,-0.0361178231216606,-0.0555242074448988,-0.0114801910791395,-0.173093967451144
"7_1945",0.0159066724301301,0.0489333203054314,-0.0261030038349557,-0.0196862889322144,0.00243915925424311,-0.0756089269939431,-0.12703317812253
"7_1946",0.0233220146972357,0.0382561351034422,-0.027639661973735,-0.0120841571509046,0.0106419025499701,-0.122573390048318,-0.154500786408211
"7_1947",0.0287698022137029,0.0328184106081881,-0.04202308243909,-0.0271303502886896,-0.00833117625243314,-0.148934499739479,-0.212791289798749
"7_1948",0.0062215489844234,0.0487456655087347,-0.0497210260929864,-0.0332107947043444,-0.0179160145144255,-0.0530111880257696,-0.182014126447529
"7_1949",0.028846563989129,0.0375606656359681,-0.0518844868447401,-0.054021988963952,-0.0118336083556702,-0.114045187523972,-0.194241009832649
"7_1950",0.0195174474305357,0.0267835382128984,-0.0350882602784581,0.00512718724811046,0.0110795142404825,-0.169522480529108,-0.183087322267728
"7_1951",0.00402430967179384,0.0257307892139319,-0.0307816023501449,0.0103941234639573,0.000413799921498576,-0.140887078779236,-0.163671295036292
"7_1952",0.00225685195346445,0.0388924985099303,-0.0359917864175466,0.00559800715993083,-0.0145167567610235,-0.0637637389964893,-0.1734258509572
"7_1953",0.0159597477035238,0.0455796242759908,-0.0477887011726757,-0.00869350906773114,-0.00030407168285765,-0.080405553421987,-0.179489333496673
"7_1954",0.0230383850421421,0.0375699083926704,-0.047501870916597,-0.0141847624276499,0.0144816894466832,-0.116421788585903,-0.176678528279117
"7_1955",0.013807617298365,0.047492903586905,-0.0509970288388034,-0.00550584590515207,0.00937547109113628,-0.0831975553501503,-0.162407839810687
"7_1956",0.00551085182185305,0.0217993164668505,-0.0435536015008787,0.0226609125904727,-0.00354829367232145,-0.136940031321883,-0.163496741726557
