period,occ1990dd_2digit,spitz_nr_analytic_C,spitz_nr_inter_C,spitz_r_cognitive_C,spitz_r_manual_C,spitz_nr_manual_C,occ1990dd_1digit,dissimilarity2_mp,N,wage
1975,1,.36648232,.53358179,.024142353,.0073802862,.030116731,1,.43520832,4089,20.894861
1975,2,.28498223,.32636341,.022010051,.0059304703,.020884136,1,.47381675,4988,23.220692
1975,3,.44975546,.28270558,.019774018,.008993485,.031550255,1,1,13902,22.665535
1975,4,.3053185,.19706576,.022732921,.020962385,.037336264,2,.92125434,4651,19.748274
1975,5,.13511208,.51361024,.01513999,.010667346,.018684888,2,.19835013,14432,16.462952
1975,6,.13993864,.19695343,.067816585,.017407512,.020067574,2,.46414354,25723,13.974856
1975,7,.057181954,.13264424,.025461597,.034355137,.094690233,3,.13906936,3425,8.7203236
1975,8,.16952188,.2068049,.01776698,.0061771772,.022572719,3,.21876581,842,14.74852
1975,9,.059639819,.11534218,.010125095,.0049324525,.0343505,3,.0089662839,6321,9.1335993
1975,10,.083439335,.10708546,.015585579,.0022465263,.026944133,3,.11956473,2267,9.5401936
1975,11,.13311732,.18587354,.016965486,.011889799,.049475137,3,.2566894,2121,12.781662
1975,12,.14146674,.18737598,.01487273,.011927178,.041780315,3,.25261429,2078,11.744182
1975,13,.1814263,.31380051,.015642408,.019451508,.041187536,4,.36115524,2262,9.7077436
1975,14,.1638549,.15826873,.015305648,.042758867,.18456195,5,.48796371,8483,19.741262
1975,15,.13915488,.19797306,.012546952,.020273428,.084971346,5,.28157884,17555,23.15081
1975,16,.23970169,.23650944,.017961249,.0059649125,.066069253,5,.29149175,23,22.07892
1975,17,.16979077,.15216258,.023725884,.046242759,.055892017,5,.42462102,10688,20.092186
1975,18,.12544622,.18471746,.022388548,.068315409,.042196389,6,.24965766,21114,14.742153
1975,19,.15242583,.1837039,.018427113,.022876322,.050767064,6,.40387058,18797,16.491787
1980,1,.48300034,.67499346,.035052247,.0064551379,.039171286,1,.41898781,10954,22.464251
1980,2,.37504691,.41999823,.0338559,.0083726058,.027957534,1,.54025352,6123,20.434275
1980,3,.52963531,.376858,.029126592,.010723979,.038154826,1,.97572803,17615,21.083181
1980,4,.37591988,.27776584,.038633384,.023394551,.045060202,2,.96385014,6475,18.687769
1980,5,.19639292,.65679997,.030176777,.009172271,.023161225,2,.27032271,18840,15.98409
1980,6,.19261582,.28202158,.09139479,.010845288,.030889241,2,.48986691,30413,13.136109
1980,7,.065705568,.19318791,.0035421811,.0051168716,.060612094,3,.054489005,3189,8.1531
1980,8,.30315998,.33278355,.026011772,.014285153,.032742746,3,.30008647,1069,12.451865
1980,9,.077475637,.15666476,.019178389,.0064704781,.047431786,3,.032064155,7176,8.6913662
1980,10,.10180132,.15988961,.030000255,.0035346174,.022442909,3,.10441941,3169,9.3253555
1980,11,.19551177,.28169993,.043263339,.012376143,.076554976,3,.26375178,3271,11.082427
1980,12,.19150659,.30445322,.023759823,.013532927,.065704465,3,.35274932,2333,11.22715
1980,13,.3060025,.29811692,.022246055,.009121215,.03968339,4,.41472906,2400,9.2344503
1980,14,.21987005,.25928569,.028114131,.038513836,.18178807,5,.44427344,9598,18.485546
1980,15,.16209459,.24523774,.026335513,.021080267,.093509667,5,.2641407,13407,20.607386
1980,16,.25344023,.30053768,.064563423,.010630342,.048228927,5,.77397716,347,19.143051
1980,17,.19591269,.21598984,.031407207,.042101506,.064833008,5,.42461923,10256,18.903913
